"run_id","time_min","V_cum_upper_mL","V_cum_eta_mL"
1,0,0,0
1,1,0.250747676912214,0.0671453408949975
1,2,0.461370045699018,0.21260847277456
1,3,0.618168622767091,0.290772559677025
1,4,0.841832094100192,0.474154949672745
1,5,1.04839689161062,0.549179340225746
1,6,1.22993982378684,0.671482987368277
1,7,1.3934009235025,0.779633282442992
1,8,1.57107635943024,0.860846260240049
1,9,1.74091856495707,0.997971412065174
1,10,1.89585188750917,1.08749083451666
1,11,2.13559282662594,1.14283355926347
1,12,2.33352130310634,1.28520002323755
1,13,2.57869481912855,1.42164474301379
1,14,2.79591815664868,1.54113460891218
1,15,3.0193007134213,1.58634228253815
1,16,3.23188728513174,1.7490321796048
1,17,3.38539617787456,1.7883030660427
1,18,3.60452990633725,1.88147593485725
1,19,3.84760604069462,2.0633551508244
1,20,4.07560187759421,2.17704666752424
1,21,4.30920002603703,2.32559848290681
1,22,4.5048338504289,2.47624816596643
1,23,4.68454567606985,2.62201739212995
1,24,4.86958010637393,2.76313012427463
1,25,5.1176280940328,2.8815193918039
1,26,5.28841845112103,2.980586142655
1,27,5.51329020100735,3.05193599180784
1,28,5.74677225033397,3.10771350332736
1,29,5.98693228450275,3.24170313926162
1,30,6.20667567489329,3.30188596024764
2,0,0,0
2,1,0.246015139883286,0.0716790577714202
2,2,0.450246592517779,0.158880013130908
2,3,0.652136206178581,0.286186960819435
2,4,0.815229966347601,0.374224332672585
2,5,1.01365449346075,0.481832590084111
2,6,1.21899152875251,0.66075012564267
2,7,1.38426569190101,0.773809660725977
2,8,1.60944255294218,0.821099233092612
2,9,1.75712633514917,0.880576309895994
2,10,2.00947687590191,1.06540505510435
2,11,2.15725920589413,1.14417625151716
2,12,2.38860462910636,1.21604702776216
2,13,2.63473970141448,1.43574701270408
2,14,2.78002137870157,1.55366380832287
2,15,2.98747998447619,1.73224622871099
2,16,3.21889340580275,1.78793764703509
2,17,3.39700444480732,1.93411970020365
2,18,3.63095426747365,2.06461301586424
2,19,3.81463257744288,2.18007689728923
2,20,3.96019596716976,2.28811276221152
2,21,4.17446730123197,2.44949521571008
2,22,4.40343036883508,2.65475589747004
2,23,4.60032261492884,2.71223139461541
2,24,4.77669976239293,2.76136341968785
2,25,5.02149857157706,2.83559656752993
2,26,5.16941710681613,2.8942742683449
2,27,5.41742197375564,3.07905380270083
2,28,5.60730452744995,3.13764872106635
2,29,5.80432200765663,3.27396764190457
2,30,5.9649845794471,3.34432753130362
3,0,0,0
3,1,0.221084341686592,0.158196508352223
3,2,0.4619205662688,0.2377559718258
3,3,0.699588338774388,0.317358075567431
3,4,0.937021718917702,0.401435895877281
3,5,1.16351019867252,0.590458596906174
3,6,1.361154044592,0.728240514011592
3,7,1.54387610552158,0.821540876135734
3,8,1.73147209802759,0.93752544109761
